종목,5rm,1rm,,,TM=1rm 의 90% =5rm,,,,1rm=>5rm,,,5rm=>1rm,,,,,
오버헤드,55,,,,,,,,1rm,5rm,,5rm,1rm,,,,
데드,120,,,,amrap=될때까지 하기,,,,,0,,,0,,,,
벤치,70,,,,,,,,,,,,,,,,
스쿼트,110,,,,※ 성공시 상체=2.5kg / 하체=5kg 증량 ※,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
메인운동,,,,,,,,,,,,,,보조운동,,,
오버헤드,1주차,,,2주차,,,3주차,,,4주차,,,,,,,
월,65%,35.75,*5,70%,38.5,*3,75%,41.25,*5,40%,22,*5,,,,,
,75%,41.25,*5,80%,44,*3,85%,46.75,*3,50%,27.5,*5,,,,,
,85%,46.75,*5+amrap,90%,49.5,*3+amrap,95%,52.25,*1+amrap,60%,33,*5,,,,,
,,,,,,,,,,,,,,,,,
데드,1주차,,,2주차,,,3주차,,,4주차,,,,,,,
화,65%,78,*5,70%,84,*3,75%,90,*5,40%,48,*5,,,,,
,75%,90,*5,80%,96,*3,85%,102,*3,50%,60,*5,,,,,
,85%,102,*5+amrap,90%,108,*3+amrap,95%,114,*1+amrap,60%,72,*5,,,,,
,,,,,,,,,,,,,,,,,
벤치,1주차,,,2주차,,,3주차,,,4주차,,,,,,,
목,65%,45.5,*5,70%,49,*3,75%,52.5,*5,40%,28,*5,,,,,
,75%,52.5,*5,80%,56,*3,85%,59.5,*3,50%,35,*5,,,,,
,85%,59.5,*5+amrap,90%,63,*3+amrap,95%,66.5,*1+amrap,60%,42,*5,,,,,
,,,,,,,,,,,,,,,,,
스쿼트,1주차,,,2주차,,,3주차,,,4주차,,,,,,,
금,65%,71.5,*5,70%,77,*3,75%,82.5,*5,40%,44,*5,,,,,
,75%,82.5,*5,80%,88,*3,85%,93.5,*3,50%,55,*5,,,,,
,85%,93.5,*5+amrap,90%,99,*3+amrap,95%,104.5,*1+amrap,60%,66,*5,,,,,
,,,,,,,,,,,,,,,,,
